ticker,empresa,setor,industria,roe_pct,dividend_yield_pct,observacoes
AAPL,Apple Inc.,Technology,Consumer Electronics,148.75,0.34,
ABT,Abbott Laboratories,Healthcare,Medical Devices,10.58,2.33,
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,41.07,0.47,
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,30.56,,
APD,"Air Products and Chemicals, Inc",Basic Materials,Specialty Chemicals,0.02,2.4,
ASML,ASML Holding N.V. - New York Re,Technology,Semiconductor Equipment & Materials,53.94,0.53,
AVGO,Broadcom Inc.,Technology,Semiconductors,44.24,0.73,
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,12.12,,
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,14.82,1.19,
CI,The Cigna Group,Healthcare,Healthcare Plans,16.76,2.21,
CNI,Canadian National Railway Compa,Industrials,Railroads,22.02,2.11,
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,29.15,0.64,
CP,Canadian Pacific Kansas City Li,Industrials,Railroads,8.15,0.83,
CRM,"Salesforce, Inc.",Technology,Software - Application,19.38,0.68,
CSX,CSX Corporation,Industrials,Railroads,24.36,1.13,
DG,Dollar General Corporation,Consumer Defensive,Discount Stores,19.69,1.77,
ELV,"Elevance Health, Inc.",Healthcare,Healthcare Plans,11.13,1.69,
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,48.68,0.26,
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,48.68,0.26,
HSY,The Hershey Company,Consumer Defensive,Confectioners,32.81,3.36,
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,17.42,,
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,25.74,1.95,
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,87.5,0.5,
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,42.05,2.41,
LIN,Linde plc,Basic Materials,Specialty Chemicals,18.4,1.34,
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,102.29,0.6,
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,,2.45,
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,65.07,0.43,
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,,2.91,
MDLZ,"Mondelez International, Inc.",Consumer Defensive,Confectioners,13.34,3.39,
MDT,Medtronic plc.,Healthcare,Medical Devices,10.65,3.06,
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,27.5,,
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,29.85,0.34,
NOW,"ServiceNow, Inc.",Technology,Software - Application,14.24,,
NVDA,NVIDIA Corporation,Technology,Semiconductors,117.21,0.43,
ORCL,Oracle Corporation,Technology,Software - Infrastructure,53.38,1.26,
PEP,"Pepsico, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,51.51,4.3,
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,30.29,2.97,
PGR,Progressive Corporation (The),Financial Services,Insurance - Property & Casualty,34.94,0.18,
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,33.75,2.18,
RSG,"Republic Services, Inc.",Industrials,Waste Management,18.15,1.2,
SPCX,Space Exploration Technologies ,Industrials,Aerospace & Defense,,,
SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,14.26,0.87,
SYK,Stryker Corporation,Healthcare,Medical Devices,16.51,1.16,
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,4.67,,
TTWO,"Take-Two Interactive Software, ",Communication Services,Electronic Gaming & Multimedia,-9.04,,
TXN,Texas Instruments Incorporated,Technology,Semiconductors,35.18,2.2,
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,14.15,2.34,
UNP,Union Pacific Corporation,Industrials,Railroads,39.7,1.96,
WM,"Waste Management, Inc.",Industrials,Waste Management,29.84,1.73,
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,22.31,0.92,
